Gene_Name	Chromosome	Start	End	Region
DRO_0422	CP068791.1	422643.0	422663.0	Proximal promoter (-500)
DRO_1899	CP068791.1	1941167.0	1941187.0	Proximal promoter (-500)
DRO_0218	CP068791.1	219259.0	219277.0	Promoter region
DRO_1891	CP068791.1	1931896.0	1931916.0	Proximal promoter (-500)
DRO_1287	CP068791.1	1306373.0	1306391.0	Gene body
DRO_C0039	CP068794.1	41663.0	41683.0	Proximal promoter (-500)
DRO_C0002	CP068794.1	1861.0	1881.0	Gene body
DRO_2144	CP068791.1	2167345.0	2167363.0	Gene body
DRO_0769	CP068791.1	788166.0	788186.0	Promoter region
DRO_0003	CP068791.1	4267.0	4285.0	Proximal promoter (-500)
DRO_1880	CP068791.1	1921703.0	1921721.0	Proximal promoter (-500)
DRO_1287	CP068791.1	1306253.0	1306271.0	Proximal promoter (-500)
DRO_1751	CP068791.1	1800474.0	1800494.0	Proximal promoter (-500)
DRO_2166	CP068791.1	2189053.0	2189073.0	Promoter region
DRO_2229	CP068791.1	2248924.0	2248942.0	Proximal promoter (-500)
DRO_1891	CP068791.1	1931896.0	1931914.0	Proximal promoter (-500)
DRO_1033	CP068791.1	1052869.0	1052889.0	Proximal promoter (-500)
DRO_0070	CP068791.1	65999.0	66017.0	Proximal promoter (-500)
DRO_0900	CP068791.1	911367.0	911387.0	Gene body
DRO_0323	CP068791.1	320380.0	320400.0	Proximal promoter (-500)
DRO_0558	CP068791.1	566493.0	566511.0	Proximal promoter (-500)
DRO_A0166	CP068792.1	164375.0	164395.0	Promoter region
DRO_C0033	CP068794.1	34882.0	34902.0	Gene body
DRO_2545	CP068791.1	2572806.0	2572826.0	Proximal promoter (-500)
DRO_A0168	CP068792.1	164375.0	164395.0	Proximal promoter (-500)
DRO_1751	CP068791.1	1800474.0	1800492.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	12969.0	12989.0	Promoter region
DRO_16SrRNA1	CP068791.1	86002.0	86020.0	Gene body
DRO_2308	CP068791.1	2331450.0	2331468.0	Gene body
DRO_A0342	CP068792.1	381815.0	381835.0	Proximal promoter (-500)
DRO_0097	CP068791.1	100334.0	100354.0	Proximal promoter (-500)
DRO_1287	CP068791.1	1307067.0	1307087.0	Gene body
DRO_16SrRNA3	CP068791.1	2463864.0	2463882.0	Gene body
DRO_1227	CP068791.1	1242885.0	1242903.0	Gene body
DRO_2545	CP068791.1	2572806.0	2572824.0	Proximal promoter (-500)
DRO_0098	CP068791.1	100334.0	100354.0	Promoter region
DRO_0070	CP068791.1	65997.0	66017.0	Proximal promoter (-500)
DRO_A0167	CP068792.1	164377.0	164397.0	Proximal promoter (-500)
DRO_2610	CP068792.1	381815.0	381835.0	Promoter region
DRO_0004	CP068791.1	4267.0	4287.0	Proximal promoter (-500)
DRO_C0038	CP068794.1	41663.0	41683.0	Gene body
DRO_1893	CP068791.1	1936461.0	1936479.0	Promoter region
DRO_C0017	CP068794.1	16367.0	16387.0	Proximal promoter (-500)
DRO_0097	CP068791.1	100334.0	100352.0	Proximal promoter (-500)
DRO_0898	CP068791.1	908841.0	908861.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	1861.0	1881.0	Promoter region
DRO_C0011	CP068794.1	12969.0	12987.0	Promoter region
DRO_1281	CP068791.1	1299438.0	1299456.0	Proximal promoter (-500)
DRO_0003	CP068791.1	4265.0	4285.0	Proximal promoter (-500)
DRO_2043	CP068791.1	2082180.0	2082200.0	Proximal promoter (-500)
DRO_2229	CP068791.1	2248922.0	2248942.0	Proximal promoter (-500)
DRO_1890	CP068791.1	1931896.0	1931916.0	Proximal promoter (-500)
DRO_1140	CP068791.1	1154411.0	1154429.0	Proximal promoter (-500)
DRO_0098	CP068791.1	100334.0	100352.0	Promoter region
DRO_1140	CP068791.1	1154409.0	1154429.0	Proximal promoter (-500)
DRO_0600	CP068791.1	611033.0	611051.0	Gene body
DRO_A0167	CP068792.1	164377.0	164395.0	Proximal promoter (-500)
DRO_23SrRNA1	CP068791.1	253014.0	253032.0	Gene body
DRO_2399	CP068791.1	2425217.0	2425237.0	Gene body
DRO_tRNA4	CP068791.1	253014.0	253032.0	Proximal promoter (-500)
DRO_1551	CP068791.1	1592447.0	1592465.0	Proximal promoter (-500)
DRO_2229	CP068791.1	2248938.0	2248958.0	Proximal promoter (-500)
DRO_0559	CP068791.1	566493.0	566511.0	Proximal promoter (-500)
DRO_2610	CP068792.1	13433.0	13453.0	Promoter region
DRO_1890	CP068791.1	1931896.0	1931914.0	Proximal promoter (-500)
DRO_1881	CP068791.1	1921701.0	1921721.0	Proximal promoter (-500)
DRO_1893	CP068791.1	1936461.0	1936481.0	Promoter region
DRO_0138	CP068791.1	136887.0	136907.0	Promoter region
DRO_A0343	CP068792.1	381817.0	381837.0	Proximal promoter (-500)
DRO_16SrRNA2	CP068791.1	2283139.0	2283159.0	Gene body
DRO_2144	CP068791.1	2167343.0	2167363.0	Gene body
DRO_2383	CP068791.1	2406099.0	2406117.0	Promoter region
DRO_0138	CP068791.1	136887.0	136905.0	Promoter region
DRO_A0343	CP068792.1	381817.0	381835.0	Proximal promoter (-500)
DRO_C0023	CP068794.1	25865.0	25883.0	Proximal promoter (-500)
DRO_2145	CP068791.1	2167345.0	2167365.0	Proximal promoter (-500)
DRO_C0011	CP068794.1	12082.0	12100.0	Proximal promoter (-500)
DRO_0899	CP068791.1	911148.0	911166.0	Promoter region
DRO_16SrRNA2	CP068791.1	2283139.0	2283157.0	Gene body
DRO_1287	CP068791.1	1306373.0	1306393.0	Gene body
DRO_0022	CP068791.1	20669.0	20687.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	12967.0	12987.0	Promoter region
DRO_1032	CP068791.1	1052871.0	1052889.0	Proximal promoter (-500)
DRO_0219	CP068791.1	219259.0	219279.0	Proximal promoter (-500)
DRO_0421	CP068791.1	422643.0	422663.0	Proximal promoter (-500)
DRO_0021	CP068791.1	20669.0	20687.0	Promoter region
DRO_1890	CP068791.1	1931894.0	1931914.0	Proximal promoter (-500)
DRO_2230	CP068791.1	2248940.0	2248958.0	Proximal promoter (-500)
DRO_2145	CP068791.1	2167345.0	2167363.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	44895.0	44915.0	Promoter region
DRO_1140	CP068791.1	1154411.0	1154431.0	Proximal promoter (-500)
DRO_2167	CP068791.1	2189053.0	2189073.0	Proximal promoter (-500)
DRO_1552	CP068791.1	1592447.0	1592465.0	Gene body
DRO_0219	CP068791.1	219259.0	219277.0	Proximal promoter (-500)
DRO_1685	CP068791.1	1729725.0	1729743.0	Proximal promoter (-500)
DRO_0898	CP068791.1	908839.0	908859.0	Proximal promoter (-500)
DRO_0218	CP068791.1	219259.0	219279.0	Promoter region
DRO_0217	CP068791.1	217497.0	217517.0	Gene body
DRO_0899	CP068791.1	911148.0	911168.0	Promoter region
DRO_1891	CP068791.1	1932067.0	1932085.0	Gene body
DRO_B0150	CP068794.1	35576.0	35596.0	Promoter region
DRO_2144	CP068791.1	2167345.0	2167365.0	Proximal promoter (-500)
DRO_0899	CP068791.1	908841.0	908859.0	Proximal promoter (-500)
DRO_0607	CP068791.1	617570.0	617588.0	Gene body
DRO_2144	CP068791.1	2167345.0	2167365.0	Gene body
DRO_1881	CP068791.1	1921703.0	1921723.0	Proximal promoter (-500)
DRO_2451	CP068791.1	2472796.0	2472816.0	Proximal promoter (-500)
DRO_1287	CP068791.1	1306253.0	1306273.0	Proximal promoter (-500)
DRO_0139	CP068791.1	136885.0	136905.0	Proximal promoter (-500)
DRO_0596	CP068791.1	608353.0	608371.0	Proximal promoter (-500)
DRO_2383	CP068791.1	2406099.0	2406119.0	Promoter region
DRO_2144	CP068791.1	2167345.0	2167363.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	16367.0	16387.0	Promoter region
DRO_0069	CP068791.1	65999.0	66019.0	Promoter region
DRO_C0011	CP068794.1	12205.0	12223.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	34882.0	34900.0	Promoter region
DRO_1894	CP068791.1	1936461.0	1936481.0	Proximal promoter (-500)
DRO_2230	CP068791.1	2248940.0	2248960.0	Proximal promoter (-500)
DRO_0069	CP068791.1	65999.0	66017.0	Promoter region
DRO_2145	CP068791.1	2167343.0	2167363.0	Proximal promoter (-500)
DRO_1894	CP068791.1	1936461.0	1936481.0	Gene body
DRO_C0010	CP068794.1	12082.0	12100.0	Promoter region
DRO_1280	CP068791.1	1299436.0	1299456.0	Proximal promoter (-500)
DRO_C0036	CP068794.1	38054.0	38072.0	Gene body
DRO_2545	CP068791.1	2572804.0	2572824.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	41663.0	41683.0	Promoter region
DRO_16SrRNA1	CP068791.1	86000.0	86020.0	Gene body
DRO_1288	CP068791.1	1307067.0	1307087.0	Proximal promoter (-500)
DRO_1894	CP068791.1	1936461.0	1936479.0	Proximal promoter (-500)
DRO_2308	CP068791.1	2331450.0	2331468.0	Proximal promoter (-500)
DRO_2384	CP068791.1	2406099.0	2406117.0	Proximal promoter (-500)
DRO_2042	CP068791.1	2082182.0	2082202.0	Proximal promoter (-500)
DRO_0216	CP068791.1	217497.0	217517.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	12082.0	12100.0	Promoter region
DRO_C0011	CP068794.1	12205.0	12225.0	Proximal promoter (-500)
DRO_1755	CP068791.1	1802926.0	1802946.0	Proximal promoter (-500)
DRO_tRNA19	CP068791.1	2525989.0	2526007.0	Proximal promoter (-500)
DRO_0099	CP068791.1	100334.0	100354.0	Proximal promoter (-500)
DRO_0097	CP068791.1	100332.0	100352.0	Proximal promoter (-500)
DRO_0898	CP068791.1	908841.0	908859.0	Proximal promoter (-500)
DRO_C0011	CP068794.1	12967.0	12987.0	Promoter region
DRO_2042	CP068791.1	2082182.0	2082200.0	Proximal promoter (-500)
DRO_2249	CP068791.1	2270194.0	2270214.0	Proximal promoter (-500)
DRO_1788	CP068791.1	1834158.0	1834178.0	Gene body
DRO_1890	CP068791.1	1932067.0	1932085.0	Proximal promoter (-500)
DRO_0004	CP068791.1	4267.0	4285.0	Proximal promoter (-500)
DRO_0098	CP068791.1	100332.0	100352.0	Promoter region
DRO_2248	CP068791.1	2270194.0	2270214.0	Promoter region
